"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","H4909","Local CCP","Local PPO","07/01/2005","For Profit","Anthem Inc.","Chicago","158,455","120 Monument Circle","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","R5941","Regional CCP","Regional PPO","01/01/2006","For Profit","Anthem Inc.","Chicago","18,315","120 Monument Circle","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","H1607","Local CCP","Local PPO","08/01/2005","For Profit","Anthem Inc.","Chicago","5,030","220 Virginia Ave","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","H4036","Local CCP","Local PPO","01/01/2008","For Profit","Anthem Inc.","Chicago","33,420","120 Monument Circle","","Indianapolis","IN","46204","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"APPALACHIAN AGENCY FOR SENIOR CITIZENS, INC.","Appalachian Agency for Senior Citizens, Inc,","H2386","National PACE","National PACE","05/01/2008","Not-for-Profit/Non-Profit","Appalachian Agency for Senior Citizens, Inc.","Philadelphia","91","PO Box 765","216 College Ridge Road","Cedar Bluff","VA","24609","Program Director","Collins","Dana","","1-276-964-4915","7152","1-276-963-0130","dcollins@aasc.org","P.O.B. 765","","Cedar Bluff","VA","24609","03/24/2011"
"ARCADIAN HEALTH PLAN, INC.","Humana","H5619","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Humana Inc.","Kansas City","427,061","c/o Corporation Service Company, 300 Deschutes Way SW","Suite 304","Tumwater","WA","98501","","Collins","Michael","","1-800-448-6262","","","mcollins2@humana.com","101 East Main Street","","Louisville","KY","40202","01/04/2018"
"ARIZONA PHYSICIANS IPA, INC.","UnitedHealthcare","H0321","Local CCP","HMO/HMOPOS","09/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","51,085","1 East Washington Street","Suite 900","Phoenix","AZ","85004","","Customer Service","UHC","","1-877-614-0623","","","cs_evercare@uhc.com","1 East Washington","Suite 900","Phoenix","AZ","85004","05/09/2018"
"ARKANSAS HEALTH AND WELLNESS HEALTH PLAN, INC","Allwell","H9630","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Dallas","24,751","1 Allied Drive Suite 2520","","Little Rock","AR","72202","","Services","Member","","1-855-565-9518","","","CorporateMedicareComplianceDept@CENTENE.COM","PO BOX 25438","","Little Rock","AR","72221","08/15/2017"
"ARKANSAS SUPERIOR SELECT, INC.","Tribute Health Plans","H1587","Local CCP","HMO/HMOPOS","01/01/2015","For Profit","Select Founders, LLC","Denver","1,252","1 Riverfront Place","Suite 615","North Little Rock","AR","72114","","Service","Customer","","1-501-372-1922","","","info@superiorselectinc.com","1 Riverfront Place, Suite 615","","North Little Rock","AR","72114","03/04/2019"
"ASPIRE HEALTH PLAN","Aspire Health Plan","H8764","Local CCP","HMO/HMOPOS","01/01/2014","Not-for-Profit/Non-Profit","Montage Health","San Francisco","5,549","23625 Holman Highway","","Monterey","CA","93940","Customer Service Represen","Service","Customer","","1-855-570-1600","","1-831-574-4939","csrII@aspirehealthplan.org","10 Ragsdale Drive, Suite 101","","Monterey","CA","93940","03/23/2018"
"ASURIS NORTHWEST HEALTH","Asuris Northwest Health","H5010","Local CCP","Local PPO","07/01/2005","Not-for-Profit/Non-Profit","Cambia Health Solutions, Inc.","Seattle","882","200 SW Market St","","Portland","OR","97201","Manager Member Services","Ciuro","Catina","","1-541-618-1268","","","Catina.Ciuro@regence.com","2057 Commerce Dr","","Medford","OR","97504","02/07/2019"
"ATLANTICARE HEALTH SERVICES, INC.","AtlantiCare LIFE Connection","H7619","National PACE","National PACE","10/01/2017","Not-for-Profit/Non-Profit","Geisinger Health","New York","81","2500 English Creek Avenue","","Egg Harbor Township","NJ","08234","Executive Director","DiBiase","Michael","","1-609-572-8588","","","michael.dibiase@atlanticare.org","1401 Atlantic Ave","Suite 1400","Atlantic City","NJ","08401","04/09/2019"
"ATRIO HEALTH PLANS","ATRIO Health Plans","H5995","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","ATRIO Health Plans","Seattle","3,184","2965 Ryan Drive SE","","Salem","OR","97301","Customer Service","Service","Customer","","1-877-672-8620","","1-541-672-8670","customerservice@atriohp.com","2965 Ryan Dr SE","","Salem","OR","97301","10/05/2020"
"ATRIO HEALTH PLANS","ATRIO Health Plans","H7006","Local CCP","Local PPO","01/01/2010","For Profit","ATRIO Health Plans","Seattle","2,336","2965 Ryan Drive SE","","Salem","OR","97301","Customer Service","Service","Customer","","1-877-672-8620","","1-541-672-8670","customerservice@atriohp.com","2965 Ryan Dr SE","","Salem","OR","97301","10/05/2020"
"ATRIO HEALTH PLANS","ATRIO Health Plans","H6743","Local CCP","Local PPO","01/01/2011","For Profit","ATRIO Health Plans","Seattle","11,207","2965 Ryan Drive SE","","Salem","OR","97301","Customer Service","Service","Customer","","1-877-672-8620","","1-541-672-8670","customerservice@atriohp.com","2965 Ryan Dr SE","","Salem","OR","97301","10/05/2020"
"ATRIO HEALTH PLANS","ATRIO Health Plans","H3814","Local CCP","HMO/HMOPOS","07/01/2005","For Profit","ATRIO Health Plans","Seattle","2,255","2965 Ryan Drive SE","","Salem","OR","97301","Customer Service","Service","Customer","","1-877-672-8620","","1-541-672-8670","customerservice@atriohp.com","2965 Ryan Dr SE","","Salem","OR","97301","10/05/2020"
"AULTCARE HEALTH INSURING CORPORATION","PrimeTime Health Plan","H3664","Local CCP","HMO/HMOPOS","01/01/1997","Not-for-Profit/Non-Profit","Aultman Health Foundation","Chicago","17,067","Morrow House","2600 Sixth Street SW","CANTON","OH","44710","Customer Service Supervis","Bowling-Shaffer","Lisa","","1-330-363-7407","","","lbowling-shaffer@aultcare.com","Morrow House","2600 Sixth Street SW","Canton","OH","44710","09/24/2020"
"AVMED, INC.","AvMed Medicare","H1016","Local CCP","HMO/HMOPOS","09/01/1987","Not-for-Profit/Non-Profit","AvMed, Inc.","Atlanta","23,557","4300 N.W. 89TH BLVD.","","GAINESVILLE","FL","32606","Director, Corporate Compl","Lojko","Catherine","","1-352-372-8400","40740","","Catherine.Lojko@AvMed.org","AvMed, Inc.","4300 NW 89 Blvd.","Gainesville","FL","32606","09/21/2020"
"BANNER - UNIVERSITY CARE ADVANTAGE","Banner - University Care Advantage","H4931","Local CCP","HMO/HMOPOS","01/01/2015","Not-for-Profit/Non-Profit","Banner Health","San Francisco","15,737","2701 E. Elvira","","Tucson","AZ","85756","BUCA Customer Care","Care","Customer","","1-520-874-3930","","1-520-874-3434","memberservicesinquiries@bannerhealth.com","2701 E. Elvira Rd","","Tucson","AZ","85756","11/04/2019"
"BAYCARE SELECT HEALTH PLANS, INC.","BayCare Health Plans","H2235","Local CCP","HMO/HMOPOS","01/01/2019","Not-for-Profit/Non-Profit","BayCare Health System, Inc.","Atlanta","8,329","300 Park Place Blvd.","Suite 170","Clearwater","FL","33759","","CustomerService","Lumeris","","1-866-509-5396","","","customerservice@baycarehealthplans.org","13900 Riverport Dr","","Maryland Heights","MO","63043","12/10/2019"
"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","H2230","Local CCP","Local PPO","09/01/2005","Not-for-Profit/Non-Profit","Blue Cross and Blue Shield of Massachusetts, Inc.","Boston","48,672","101 Huntington Ave","Suite 1300","BOSTON","MA","021997611","","Services","Member","","1-800-200-4255","","","MMService@bcbsma.com","25 Technology Place","Mailstop 03-02","Hingham","MA","02043-4359","11/18/2019"
"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross Blue Shield of Massachusetts","H2261","Local CCP","HMO/HMOPOS","01/01/1996","Not-for-Profit/Non-Profit","Blue Cross and Blue Shield of Massachusetts, Inc.","Boston","14,717","101 Huntington Ave","Suite 1300","BOSTON","MA","021997611","","Services","Member","","1-800-200-4255","","","MMService@bcbsma.com","25 Technology Place","Mailstop 03-02","Hingham","MA","02043-4359","11/18/2019"
"BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Blue Cross Blue Shield of Michigan","H9572","Local CCP","Local PPO","01/01/2010","Not-for-Profit/Non-Profit","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","Chicago","502,765","600 East Lafayette Blvd.","","Detroit","MI","48226","Manager","Richardson","Amy","","1-248-779-6403","","","arichardson1@bcbsm.com","600 East Lafayette Blvd.","","Detroit","MI","48226","10/16/2019"
"BEST CARE PARTNERS, INC.","Clarion Health","H8916","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","Lee Memorial Health Systems","Atlanta","91","6630 Orion Drive","Suite 201","Fort Myers","FL","33912","Director Marketing & Sale","Kennedy","John","","1-239-343-1809","","","john.kennedy@leehealth.org","6630 Oriorn Drive","Suite 201","Fort Myers","FL","33912","06/01/2020"
"BIENVIVIR SENIOR HEALTH SERVICES","Bienvivir Senior Health Services","H4518","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Bienvivir Senior Health Services","Dallas","818","2300 McKinley","","EL PASO","TX","79930","VP of Finance","Ortiz","Luis","","1-915-562-3444","2101","","luiortiz@bienvivir.org","2300 Mckinley","","El Paso","TX","79930","10/28/2015"
"BLUE CARE NETWORK OF MICHIGAN","Blue Care Network","H5883","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","Chicago","89,363","20500 Civic Center Drive","","Southfield","MI","48076","Director","McKinney","Monica","L","1-248-799-6401","","","MMcKinney@bcbsm.com","20500 Civic Center Drive","C239","Southfield","MI","48076","10/16/2019"
"BLUE CROSS & BLUE SHIELD OF ARIZONA, INC.","Blue Cross Blue Shield of Arizona","H6936","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","Blue Cross Blue Shield of Arizona","San Francisco","1,178","8220 N 23rd Ave Bldg 1","","Phoenix","AZ","85020","","Services","Member","","1-480-937-0409","","","contact.advantage@azblue.com","13985 W Grand Ave Suite 200","","Surprise","AZ","85374","05/29/2020"
"BLUE CROSS & BLUE SHIELD OF RHODE ISLAND","Blue Cross & Blue Shield of Rhode Island","H4152","Local CCP","HMO/HMOPOS","01/01/1997","Not-for-Profit/Non-Profit","Blue Cross & Blue Shield of Rhode Island","Boston","53,463","500 Exchange St.","","PROVIDENCE","RI","029032699","Customer Service Departme","Service Department","Customer","","1-401-277-2958","","","Ivona.Wisniewski@bcbsri.org","500 Exchange Street","","Providence","RI","02903","12/19/2017"
"BLUE CROSS & BLUE SHIELD OF RHODE ISLAND","Blue Cross & Blue Shield of Rhode Island","H3557","Local CCP","Local PPO","01/01/2020","Not-for-Profit/Non-Profit","Blue Cross & Blue Shield of Rhode Island","Boston","4,749","500 Exchange Street","","Providence","RI","02903","Customer Service Departme","Service Department","Customer","","1-401-277-2958","","","Ivona.Wisniewski@bcbsri.org","500 Exchange Street","","Providence","RI","02903","01/14/2019"
"BLUE CROSS AND BLUE SHIELD ARIZONA, INC.","Blue Cross Blue Shield of Arizona","H5140","Local CCP","Local PPO","01/01/2020","Not-for-Profit/Non-Profit","Blue Cross Blue Shield of Arizona","San Francisco","558","8220 N 23rd Ave Bldg 1","","Phoenix","AZ","85020","","Services","Member","","1-480-937-0409","","","contact.advantage@azblue.com","13985 W Grand Ave Suite 200","","Surprise","AZ","85374","05/29/2020"
"BLUE CROSS AND BLUE SHIELD OF ALABAMA","Blue Cross and Blue Shield of Alabama","H0104","Local CCP","Local PPO","07/01/2005","Not-for-Profit/Non-Profit","BlueCross BlueShield of Alabama","Atlanta","88,926","450 RIVERCHASE PARKWAY EAST","","BIRMINGHAM","AL","35244","Manager Claims Operations","Corley","Jeff","","1-800-517-6425","","","OpsCompliance@bcbsal.org","450 Riverchase Parkway East","","Birmingham","AL","35244","09/10/2013"
"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.","Florida Blue","H5434","Local CCP","Local PPO","08/01/2005","For Profit","Guidewell Mutual Holding Corporation","Atlanta","20,892","4800 DEERWOOD CAMPUS PARKWAY","","JACKSONVILLE","FL","32246","","Mbr Svcs","Medicare","","1-800-926-6565","","","Earl.BradleyI@bcbsfl.com","4800 Deerwood Campus Parkway","","Jacksonville","FL","32246","07/17/2018"
"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.","Florida Blue","R3332","Regional CCP","Regional PPO","01/01/2010","For Profit","Guidewell Mutual Holding Corporation","Atlanta","48,617","4800 Deerwood Campus Parkway","Bldg. 100 / 8th Floor","Jacksonville","FL","32246","","Mbr Svcs","Medicare","","1-800-926-6565","","","Earl.BradleyI@bcbsfl.com","4800 Deerwood Campus Parkway","","Jacksonville","FL","32246","07/18/2018"
"BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross and Blue Shield of Minnesota","H2461","1876 Cost","1876 Cost","01/01/1999","Not-for-Profit/Non-Profit","Aware Integrated, Inc.","Chicago","43,925","3400 Yankee Drive","","Eagan","MN","55122","","Service","Customer","","1-800-382-2000","","","CS@bluecrossmn.com","3400 Yankee Drive","","Eagan","MN","55121","01/28/2018"
"BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross and Blue Shield of Minnesota","H2446","Local CCP","HMO/HMOPOS","01/01/2019","Not-for-Profit/Non-Profit","Aware Integrated, Inc.","Chicago","200","3400 Yankee Drive","","Eagan","MN","55122","","Service","Customer","","1-800-382-2000","","","CS@bluecrossmn.com","3400 Yankee Drive","","Eagan","MN","55121","05/15/2020"
"BLUE CROSS AND BLUE SHIELD OF MINNESOTA","Blue Cross Blue Shield of Minnesota","H5959","Local CCP","Local PPO","01/01/2018","Not-for-Profit/Non-Profit","Aware Integrated, Inc.","Chicago","97,502","3400 Yankee Drive","","Eagan","MN","55122","","Service","Customer","","1-800-382-2000","","","CS@bluecrossmn.com","3400 Yankee Drive","","Eagan","MN","55121","01/29/2018"
"BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA","Blue Cross and Blue Shield of North Carolina","H3404","Local CCP","Local PPO","07/01/2005","Not-for-Profit/Non-Profit","Blue Cross and Blue Shield of North Carolina","Atlanta","22,756","PO Box 2291","","Durham","NC","277022291","Call Center support","Services","Member","","1-888-296-9790","","","renita.woods@bcbsnc.com","Blue Cross and Blue Shield of North Carolina","5660 University Pkwy","Winston Salem","NC","27105","02/06/2020"
"BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA","Blue Cross and Blue Shield of North Carolina","H3449","Local CCP","HMO/HMOPOS","07/01/1995","Not-for-Profit/Non-Profit","Blue Cross and Blue Shield of North Carolina","Atlanta","46,700","P.O. Box 2291","","Durham","NC","277022291","Call Center support","Services","Member","","1-888-296-9790","","","renita.woods@bcbsnc.com","Blue Cross and Blue Shield of North Carolina","5660 University Pkwy","Winston Salem","NC","27105","02/06/2020"
"BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA","Anthem Blue Cross and Blue Shield","H5422","Local CCP","HMO/HMOPOS","01/01/2006","For Profit","Anthem Inc.","Chicago","9,540","3350 Peachtree Road NE","","Atlanta","GA","30326","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"BLUE CROSS OF CALIFORNIA","Anthem Blue Cross","H0544","Local CCP","HMO/HMOPOS","02/01/2003","For Profit","Anthem Inc.","Chicago","139,379","21555 Oxnard Street","","Woodland Hills","CA","91367","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC.","Anthem Blue Cross Cal MediConnect","H6229","Demo","Medicare-Medicaid Plan HMO/HMOPOS","07/01/2014","For Profit","Anthem Inc.","San Francisco","4,292","120 S. Via Merida","CAT202-J003","Thousand Oaks","CA","91362","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"BLUE CROSS OF IDAHO CARE PLUS, INC.","Blue Cross of Idaho","H1302","Local CCP","Local PPO","07/01/2005","Not-for-Profit/Non-Profit","Blue Cross of Idaho Health Services, Inc.","Seattle","739","3000 E Pine Ave","","MERIDIAN","ID","83642","","Service","Customer","","1-208-395-8200","","","macs@bcidaho.com","3000 E. Pine Ave.","","Meridian","ID","83642","01/25/2017"
"BLUE CROSS OF IDAHO CARE PLUS, INC.","Blue Cross of Idaho","H1350","Local CCP","HMO/HMOPOS","09/01/1997","Not-for-Profit/Non-Profit","Blue Cross of Idaho Health Services, Inc.","Seattle","39,992","3000 E. PINE AVE.","","MERIDIAN","ID","83642","","Service","Customer","","1-208-395-8200","","","macs@bcidaho.com","3000 E. Pine Ave.","","Meridian","ID","83642","01/25/2017"
"BLUE PLUS","Blue Plus","H2425","Local CCP","HMO/HMOPOS","09/01/2005","Not-for-Profit/Non-Profit","Aware Integrated, Inc.","Chicago","8,466","PO Box 64560","","St Paul","MN","551211627","","Service","Customer","","1-800-382-2000","","","CS@bluecrossmn.com","3400 Yankee Drive","","Eagan","MN","55121","10/18/2019"
"BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN","Blue Shield of California Promise Health Plan","H0148","Demo","Medicare-Medicaid Plan HMO/HMOPOS","04/01/2014","Not-for-Profit/Non-Profit","California Physicians' Service","San Francisco","5,253","601 Potrero Grande Drive","","Monterey Park","CA","917557407","Compliance Officer","Services","Member","","1-800-544-0088","","","membersvcs@blueshieldca.com","6300 Canoga Av","","Woodland Hills","CA","91367","07/06/2020"
